P:N1,P:N2,净利润,年化收益率%
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
2,1,0,0
2,2,0,0
2,3,368586.57,34.91
2,4,-336201.28,-31.84
2,5,1693197.25,155.34
2,6,1369966.45,134.07
2,7,397440.23,38.94
2,8,1287911.62,124.17
2,9,718906.68,70.43
2,10,409265.85,40.1
2,11,-213253.63,-20.89
2,12,261297.9,25.89
2,13,-294150.07,-29.14
2,14,-193172.38,-19.14
2,15,412337.2,40.48
2,16,229469.08,22.53
2,17,407884.35,40.05
2,18,1065614.68,104.62
2,19,856375.27,84.08
2,20,773939.23,75.99
2,21,1175370.3,115.4
2,22,941009.72,92.39
2,23,384007.53,37.7
2,24,267923.75,26.2
2,25,1081199.7,106.15
2,26,895451.03,87.92
2,27,751829.25,73.82
2,28,867526.93,85.17
2,29,1213464.3,119.14
2,30,1028109.25,104.57
2,31,913301.88,92.89
2,32,990290.35,100.72
2,33,1658539,168.69
2,34,1593321.63,162.05
2,35,1541817,151.59
2,36,1751292.6,179.51
2,37,1691872.33,173.93
2,38,1120697.27,115.67
2,39,-103642.2,-10.51
2,40,-433807.42,-43.02
2,41,0,0
2,42,0,0
2,43,0,0
2,44,0,0
2,45,0,0
2,46,0,0
2,47,0,0
2,48,0,0
2,49,0,0
2,50,0,0
3,1,0,0
3,2,648340.12,61.47
3,3,0,0
3,4,2516235.78,238.3
3,5,1457749.95,133.74
3,6,906245.25,88.69
3,7,1780902.4,175.09
3,8,583501.75,56.25
3,9,-491907.45,-48.19
3,10,-148329.3,-14.53
3,11,-713628.88,-69.91
3,12,-247709.48,-24.39
3,13,-671323.08,-65.91
3,14,-497436.18,-48.84
3,15,5171.52,0.51
3,16,556562.75,54.64
3,17,846923.3,83.15
3,18,1041048.72,102.21
3,19,516965.45,50.76
3,20,712861.25,69.99
3,21,628903.25,61.75
3,22,645313.77,63.36
3,23,81808.32,8
3,24,311924.38,30.51
3,25,157482.35,15.46
3,26,186551.95,18.32
3,27,849757.9,83.43
3,28,916491.25,89.98
3,29,1283499.3,126.01
3,30,1116816,109.65
3,31,913301.88,92.89
3,32,997043.72,101.41
3,33,1658539,168.69
3,34,1593321.63,162.05
3,35,1541817,151.59
3,36,1751292.6,179.51
3,37,1571802,159.34
3,38,1120697.27,115.67
3,39,-103642.2,-10.51
3,40,-433807.42,-43.02
3,41,0,0
3,42,0,0
3,43,0,0
3,44,0,0
3,45,0,0
3,46,0,0
3,47,0,0
3,48,0,0
3,49,0,0
3,50,0,0
4,1,0,0
4,2,-1892526.67,-178.75
4,3,-2567193.77,-242.48
4,4,0,0
4,5,2739176.3,249.41
4,6,1292636.22,125.54
4,7,271338.45,26.16
4,8,-388551.3,-37.46
4,9,-1015960.28,-99.53
4,10,-740289.6,-72.53
4,11,-767536.95,-75.2
4,12,-93310.15,-9.16
4,13,-1027447.58,-100.88
4,14,-1012928.73,-99.45
4,15,-256804.33,-25.21
4,16,308787.83,30.32
4,17,706260.05,69.34
4,18,-258048.98,-25.34
4,19,-147593.77,-14.49
4,20,-100658.8,-9.88
4,21,-279027.6,-27.4
4,22,29029.4,2.85
4,23,-459038.35,-44.89
4,24,-513088.95,-50.18
4,25,-7124.55,-0.7
4,26,88623.3,8.7
4,27,404004.23,39.67
4,28,568666.23,55.83
4,29,1283499.3,126.01
4,30,1116816,109.65
4,31,913301.88,92.89
4,32,-33501.52,-3.19
4,33,1160977.13,110.46
4,34,1593321.63,162.05
4,35,1541817,151.59
4,36,1681727.4,172.47
4,37,1552311.75,158.29
4,38,1120697.27,115.67
4,39,-103642.2,-10.51
4,40,0,0
4,41,0,0
4,42,0,0
4,43,0,0
4,44,0,0
4,45,0,0
4,46,0,0
4,47,0,0
4,48,0,0
4,49,0,0
4,50,0,0
5,1,0,0
5,2,-2164556.03,-205.21
5,3,-2582002.07,-248.93
5,4,-975182.07,-94.02
5,5,0,0
5,6,1085964.25,101.21
5,7,1271439.4,122.58
5,8,837744.4,80.06
5,9,-297583.2,-28.51
5,10,-217460.95,-20.83
5,11,-1251894.47,-122.65
5,12,-548906.52,-53.88
5,13,-1137452.88,-111.65
5,14,-751180.25,-73.74
5,15,-1161785.35,-114.07
5,16,169812.9,16.67
5,17,191604.27,18.81
5,18,-75379.15,-7.4
5,19,259613.63,25.49
5,20,177055.35,17.38
5,21,105990.9,10.41
5,22,104467.1,10.26
5,23,-358688.2,-35.08
5,24,-314810.15,-30.79
5,25,90804.1,8.92
5,26,83550.48,8.2
5,27,501932.88,49.28
5,28,-133794.13,-12.73
5,29,233213.93,22.19
5,30,66530.63,6.33
5,31,-117243.38,-11.16
5,32,-33501.52,-3.19
5,33,1160977.13,110.46
5,34,1593321.63,162.05
5,35,1541817,151.59
5,36,1681727.4,172.47
5,37,1552311.75,158.29
5,38,1322926.5,140.14
5,39,-103642.2,-10.51
5,40,-433807.42,-43.02
5,41,0,0
5,42,0,0
5,43,0,0
5,44,0,0
5,45,0,0
5,46,0,0
5,47,0,0
5,48,0,0
5,49,0,0
5,50,0,0
6,1,0,0
6,2,976029.15,88.87
6,3,-1784128,-154.52
6,4,2271053.23,208.36
6,5,456749.95,41.9
6,6,0,0
6,7,882956.17,85.13
6,8,93355.45,9
6,9,-1656564.2,-158.71
6,10,-1800844.6,-172.53
6,11,-1056102.25,-103.67
6,12,-2026324.9,-198.91
6,13,-2111567.5,-207.27
6,14,-1166314.85,-114.51
6,15,163965.83,16.1
6,16,307194.18,30.16
6,17,496547.9,48.75
6,18,217009.3,21.31
6,19,81561.9,8.01
6,20,188549.6,18.51
6,21,181428.6,17.81
6,22,104467.1,10.26
6,23,-413760.65,-40.47
6,24,-256781.15,-25.11
6,25,-69476,-6.82
6,26,125621.5,12.33
6,27,-1067835.43,-101.6
6,28,-133794.13,-12.73
6,29,233213.93,22.19
6,30,66530.63,6.33
6,31,-117243.38,-11.16
6,32,-33501.52,-3.19
6,33,1160977.13,110.46
6,34,1593321.63,162.05
6,35,1541817,151.59
6,36,1681727.4,172.47
6,37,1552311.75,158.29
6,38,1322926.5,140.14
6,39,-103642.2,-10.51
6,40,-433807.42,-43.02
6,41,0,0
6,42,0,0
6,43,0,0
6,44,0,0
6,45,0,0
6,46,0,0
6,47,0,0
6,48,0,0
6,49,0,0
6,50,0,0
7,1,0,0
7,2,-1303219.95,-122.69
7,3,11380.43,1.08
7,4,2287586.63,216.65
7,5,-1807499.68,-171.18
7,6,-3188390.1,-311.83
7,7,0,0
7,8,1168723.28,112.68
7,9,-687736.35,-67.51
7,10,-760566.55,-74.66
7,11,-1609703.53,-158.01
7,12,-876336.45,-86.04
7,13,-1029553.4,-101.08
7,14,-202428.95,-19.87
7,15,242727,23.83
7,16,130654.8,12.83
7,17,328214.88,32.22
7,18,292647.1,28.73
7,19,234618.1,23.03
7,20,188549.6,18.51
7,21,126356.15,12.41
7,22,-76068.05,-7.47
7,23,-399953.75,-39.12
7,24,-1468447.17,-139.72
7,25,-1239721.33,-117.96
7,26,-1193298.13,-113.54
7,27,-1067835.43,-101.6
7,28,-787345.97,-74.91
7,29,233213.93,22.19
7,30,66530.63,6.33
7,31,790163.47,80.37
7,32,873905.32,88.88
7,33,1594770.9,162.2
7,34,1593321.63,162.05
7,35,1541817,151.59
7,36,1597669.45,163.85
7,37,1552311.75,158.29
7,38,1322926.5,140.14
7,39,-103642.2,-10.51
7,40,0,0
7,41,0,0
7,42,0,0
7,43,0,0
7,44,0,0
7,45,0,0
7,46,0,0
7,47,0,0
7,48,0,0
7,49,0,0
7,50,0,0
8,1,0,0
8,2,-142519.1,-13.42
8,3,2109052.45,199.74
8,4,-1975553.38,-187.09
8,5,-1170883.25,-110.89
8,6,-1793642.65,-171.59
8,7,2240089.43,212.35
8,8,0,0
8,9,18594.8,1.83
8,10,23136.33,2.27
8,11,-755609.52,-74.17
8,12,-182287.9,-17.9
8,13,-801712.25,-78.71
8,14,665108.75,65.3
8,15,104342.05,10.24
8,16,-397281.1,-39.01
8,17,252244.6,24.77
8,18,359228.13,35.27
8,19,359228.13,35.27
8,20,463287.6,45.49
8,21,37068.05,3.64
8,22,-881831.22,-83.9
8,23,-1441934.97,-137.2
8,24,-1611530.48,-153.33
8,25,-1227927.23,-116.83
8,26,-905316.73,-86.14
8,27,-905316.73,-86.14
8,28,16930.48,1.61
8,29,233213.93,22.19
8,30,991478.7,97.34
8,31,790163.47,80.37
8,32,873905.32,88.88
8,33,1594770.9,162.2
8,34,1593321.63,162.05
8,35,1541817,151.59
8,36,1597669.45,163.85
8,37,1691872.33,173.93
8,38,1322926.5,140.14
8,39,-103642.2,-10.51
8,40,-433807.42,-43.02
8,41,0,0
8,42,0,0
8,43,0,0
8,44,0,0
8,45,0,0
8,46,0,0
8,47,0,0
8,48,0,0
8,49,0,0
8,50,0,0
9,1,0,0
9,2,-888952.72,-83.69
9,3,-1526248.85,-144.54
9,4,-1791441.15,-169.66
9,5,-1563529.23,-148.07
9,6,-2356315.35,-225.41
9,7,1592639.8,152.36
9,8,1305660.35,125.88
9,9,0,0
9,10,1995623.17,195.17
9,11,1473674.27,139.71
9,12,1314437.17,129.05
9,13,-411939.6,-40.44
9,14,825948.95,78.3
9,15,927172.4,87.89
9,16,172464.75,16.93
9,17,114464.8,11.24
9,18,81966.82,8.05
9,19,-1275946.93,-121.4
9,20,-921052.63,-87.64
9,21,-805494.88,-76.64
9,22,-1035512.58,-98.53
9,23,-1639645.57,-156.01
9,24,-1460805.88,-138.99
9,25,-1077202.63,-102.49
9,26,-1007567.83,-95.87
9,27,-1030779.42,-98.08
9,28,16930.48,1.61
9,29,1158162,113.71
9,30,991478.7,97.34
9,31,790163.47,80.37
9,32,873905.32,88.88
9,33,1594770.9,162.2
9,34,1593321.63,162.05
9,35,1541817,151.59
9,36,1597669.45,163.85
9,37,1691872.33,173.93
9,38,1322926.5,140.14
9,39,-103642.2,-10.51
9,40,-433807.42,-43.02
9,41,0,0
9,42,0,0
9,43,0,0
9,44,0,0
9,45,0,0
9,46,0,0
9,47,0,0
9,48,0,0
9,49,0,0
9,50,0,0
10,1,0,0
10,2,1975176.08,184.08
10,3,128333.63,11.57
10,4,-569878.1,-51.4
10,5,-555699.05,-50.12
10,6,2604507.17,249.16
10,7,1949386.48,190.65
10,8,2058392.62,198.45
10,9,1528867.65,149.78
10,10,0,0
10,11,1581963,149.96
10,12,2292046.28,217.28
10,13,1314958.42,124.65
10,14,1445990.72,137.07
10,15,885647.95,86.95
10,16,897134.8,85.04
10,17,305323.75,29.98
10,18,-262271.5,-25.75
10,19,360663.38,35.41
10,20,479523.15,47.08
10,21,606794,59.58
10,22,-989702.73,-94.17
10,23,-1710480.98,-162.75
10,24,-1611530.48,-153.33
10,25,-1104124.55,-105.05
10,26,-359486.42,-34.08
10,27,1415305.13,134.16
10,28,1482038.47,140.49
10,29,1158162,113.71
10,30,991478.7,97.34
10,31,790163.47,80.37
10,32,873905.32,88.88
10,33,1567304.25,154.09
10,34,1593321.63,162.05
10,35,1541817,151.59
10,36,1597669.45,163.85
10,37,1691872.33,173.93
10,38,1322926.5,140.14
10,39,-103642.2,-10.51
10,40,-433807.42,-43.02
10,41,0,0
10,42,0,0
10,43,0,0
10,44,0,0
10,45,0,0
10,46,0,0
10,47,0,0
10,48,0,0
10,49,0,0
10,50,0,0
11,1,0,0
11,2,-2669694.85,-248.8
11,3,-2338815.25,-217.97
11,4,-2226123.4,-217.72
11,5,-975534.23,-90.92
11,6,-2272439.3,-222.25
11,7,1724170.67,168.62
11,8,1343107.65,131.58
11,9,594995.25,57
11,10,1320730.23,129.85
11,11,0,0
11,12,2237318.92,212.09
11,13,991694.38,94.01
11,14,1892378.63,179.39
11,15,1129012.9,110.82
11,16,296783.65,29.14
11,17,468748.63,46.02
11,18,221763.15,21.77
11,19,226738.92,22.26
11,20,276154.95,27.11
11,21,-928807.73,-88.37
11,22,-1158245.43,-110.2
11,23,-1846213.08,-175.66
11,24,-1900263.68,-180.8
11,25,-1104124.55,-105.05
11,26,-501015.62,-47.49
11,27,599152.48,56.8
11,28,1482038.47,140.49
11,29,1158162,113.71
11,30,991478.7,97.34
11,31,688483.95,67.69
11,32,772225.8,75.92
11,33,1567304.25,154.09
11,34,1593321.63,162.05
11,35,1541817,151.59
11,36,1597669.45,163.85
11,37,1571802,159.34
11,38,1322926.5,140.14
11,39,-103642.2,-10.51
11,40,-433807.42,-43.02
11,41,0,0
11,42,0,0
11,43,0,0
11,44,0,0
11,45,0,0
11,46,0,0
11,47,0,0
11,48,0,0
11,49,0,0
11,50,0,0
12,1,0,0
12,2,2938495.35,278.56
12,3,1286832.23,119.93
12,4,-1767831.4,-164.75
12,5,-1100011.9,-102.52
12,6,1640712.43,160.46
12,7,1274592.87,124.66
12,8,1156001.25,113.25
12,9,1266708.75,120.09
12,10,814768.9,77.25
12,11,472825.02,46.24
12,12,0,0
12,13,2237982.17,212.15
12,14,1271704.83,124.83
12,15,1365806.05,134.07
12,16,454948.05,44.66
12,17,679539.32,66.7
12,18,618405.2,60.7
12,19,271463.5,26.65
12,20,-1422984.98,-135.39
12,21,-1319361.18,-125.53
12,22,-1541634.03,-146.68
12,23,-1870972.45,-178.02
12,24,-1772021.95,-168.6
12,25,-1659979.05,-157.94
12,26,-501184.4,-49.21
12,27,-196883.05,-19.33
12,28,1482038.47,140.49
12,29,1158162,113.71
12,30,991478.7,97.34
12,31,688483.95,67.69
12,32,772225.8,75.92
12,33,1567304.25,154.09
12,34,1593321.63,162.05
12,35,1541817,151.59
12,36,1597669.45,163.85
12,37,1571802,159.34
